msme_id,company_name,industry,city,state,annual_turnover_cr,employee_count,digital_readiness_score,existing_sbi_customer,customer_since,gst_registered,udyam_registered
M028,Elite Solutions Pvt Ltd,Textiles,Surat,Gujarat,10.6,158,83,Yes,2021-01-01,Yes,Yes
M029,Rudra Textiles Pvt Ltd,Engineering,Pune,Maharashtra,33.0,241,55,Yes,,Yes,Yes
M030,Prime Chemicals Pvt Ltd,Engineering,Ahmedabad,Gujarat,22.8,198,76,No,,Yes,Yes
M031,Narmada Industries Pvt Ltd,Distribution,Jaipur,Rajasthan,11.2,100,33,Yes,2021-01-01,Yes,Yes
M032,Arjun Packaging Pvt Ltd,Manufacturing,Chennai,Tamil Nadu,58.0,40,84,Yes,,Yes,Yes
M033,Surya Textiles Pvt Ltd,Textiles,Surat,Gujarat,57.0,165,45,Yes,2021-01-01,Yes,Yes
M034,Om Traders Pvt Ltd,Distribution,Bengaluru,Karnataka,24.5,86,43,No,,Yes,Yes
M035,Pragati Chemicals Pvt Ltd,Engineering,Bengaluru,Karnataka,24.4,212,89,Yes,,Yes,Yes
M036,Metro Solutions Pvt Ltd,Auto Components,Surat,Gujarat,34.3,53,89,No,2021-01-01,Yes,Yes
M037,Zenith Chemicals Pvt Ltd,Logistics,Pune,Maharashtra,30.8,159,75,No,2021-01-01,Yes,Yes
M038,Precision Solutions Pvt Ltd,Pharma,Chennai,Tamil Nadu,56.5,46,90,Yes,,Yes,Yes
M039,Vikas Packaging Pvt Ltd,Pharma,Surat,Gujarat,22.7,73,75,No,,Yes,Yes
M040,Arjun Works Pvt Ltd,Pharma,Jaipur,Rajasthan,55.1,236,33,Yes,2021-01-01,Yes,Yes
M041,Tara Industries Pvt Ltd,Chemicals,Jaipur,Rajasthan,48.1,183,46,Yes,2021-01-01,Yes,Yes
M042,Dynamic Solutions Pvt Ltd,Manufacturing,Chennai,Tamil Nadu,13.8,246,74,Yes,2021-01-01,Yes,Yes
M043,Om Solutions Pvt Ltd,Logistics,Indore,Madhya Pradesh,30.3,30,49,No,2021-01-01,Yes,Yes
M044,Zenith Engineering Pvt Ltd,Auto Components,Ahmedabad,Gujarat,42.7,110,79,No,2021-01-01,Yes,Yes
M045,Surya Packaging Pvt Ltd,Logistics,Mumbai,Maharashtra,53.8,26,41,No,2021-01-01,Yes,Yes
M046,Surya Chemicals Pvt Ltd,Logistics,Bengaluru,Karnataka,48.9,47,54,Yes,2021-01-01,Yes,Yes
M047,Narmada Works Pvt Ltd,Chemicals,Pune,Maharashtra,23.9,223,85,Yes,,Yes,Yes
M048,Prime Logistics Pvt Ltd,Pharma,Pune,Maharashtra,52.9,217,47,No,2021-01-01,Yes,Yes
M049,Vikas Logistics Pvt Ltd,Manufacturing,Bengaluru,Karnataka,14.0,86,41,No,,Yes,Yes
M050,Zenith Logistics Pvt Ltd,Packaging,Bengaluru,Karnataka,39.5,150,37,No,2021-01-01,Yes,Yes
